#queryIndex	queryItem	stringId	preferredName	annotation
65	KCNH1	9606.ENSP00000271751	KCNH1	Potassium voltage-gated channel subfamily H member 1; Pore-forming (alpha) subunit of a voltage-gated delayed rectifier potassium channel. Channel properties are modulated by subunit assembly. Mediates IK(NI) current in myoblasts. Involved in the regulation of cell proliferation and differentiation, in particular adipogenic and osteogenic differentiation in bone marrow-derived mesenchymal stem cells (MSCs). Belongs to the potassium channel family. H (Eag) (TC 1.A.1.20) subfamily. Kv10.1/KCNH1 sub-subfamily.
66	PPP2R1A	9606.ENSP00000324804	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform; The PR65 subunit of protein phosphatase 2A serves as a scaffolding molecule to coordinate the assembly of the catalytic subunit and a variable regulatory B subunit. Upon interaction with GNA12 promotes dephosphorylation of microtubule associated protein TAU/MAPT. Required for proper chromosome segregation and for centromeric localization of SGO1 in mitosis.
67	ADAMTS7	9606.ENSP00000373472	ADAMTS7	A disintegrin and metalloproteinase with thrombospondin motifs 7; Metalloprotease that may play a role in the degradation of COMP.
68	DACT3	9606.ENSP00000375783	DACT3	Dapper homolog 3; May be involved in regulation of intracellular signaling pathways during development. Specifically thought to play a role in canonical and/or non-canonical Wnt signaling pathways through interaction with DSH (Dishevelled) family proteins.
69	MMP15	9606.ENSP00000219271	MMP15	Matrix metalloproteinase-15; Endopeptidase that degrades various components of the extracellular matrix. May activate progelatinase A. Belongs to the peptidase M10A family.
70	GSPT2	9606.ENSP00000341247	GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B; Involved in translation termination in response to the termination codons UAA, UAG and UGA. May play a role as a potent stimulator of the release factor activity of ETF1. Exhibits GTPase activity, which is ribosome- and ETF1-dependent. May play a role in cell cycle progression. Component of the transient SURF complex which recruits UPF1 to stalled ribosomes in the context of nonsense-mediated decay (NMD) of mRNAs containing premature stop codons.
71	PPP2R5B	9606.ENSP00000164133	PPP2R5B	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform; As the regulatory component of the serine/threonine-protein phosphatase 2A (PP2A) holoenzyme, modulates substrate specificity, subcellular localization, and responsiveness to phosphorylation. The phosphorylated form mediates the interaction between PP2A and AKT1, leading to AKT1 dephosphorylation.
72	CDC42SE2	9606.ENSP00000427421	CDC42SE2	CDC42 small effector protein 2; Probably involved in the organization of the actin cytoskeleton by acting downstream of CDC42, inducing actin filament assembly. Alters CDC42-induced cell shape changes. In activated T- cells, may play a role in CDC42-mediated F-actin accumulation at the immunological synapse. May play a role in early contractile events in phagocytosis in macrophages; Belongs to the CDC42SE/SPEC family.
73	NDRG4	9606.ENSP00000377823	NDRG4	Protein NDRG4; Contributes to the maintenance of intracerebral BDNF levels within the normal range, which is necessary for the preservation of spatial learning and the resistance to neuronal cell death caused by ischemic stress (By similarity). May enhance growth factor-induced ERK1 and ERK2 phosphorylation, including that induced by PDGF and FGF. May attenuate NGF-promoted ELK1 phosphorylation in a microtubule-dependent manner.
74	TACR1	9606.ENSP00000303522	TACR1	Substance-P receptor; This is a receptor for the tachykinin neuropeptide substance P. It is probably associated with G proteins that activate a phosphatidylinositol-calcium second messenger system. The rank order of affinity of this receptor to tachykinins is: substance P > substance K > neuromedin-K; Belongs to the G-protein coupled receptor 1 family.
75	SERF1B	9606.ENSP00000370126	SERF1B	Small EDRK-rich factor 1B.
76	PPP1R3F	9606.ENSP00000055335	PPP1R3F	Protein phosphatase 1 regulatory subunit 3F; Glycogen-targeting subunit for protein phosphatase 1 (PP1).
77	TEF	9606.ENSP00000266304	TEF	Thyrotroph embryonic factor; Transcription factor that binds to and transactivates the TSHB promoter. Binds to a minimal DNA-binding sequence 5'- [TC][AG][AG]TTA[TC][AG]-3'; Belongs to the bZIP family. PAR subfamily.
79	ST8SIA1	9606.ENSP00000379353	ST8SIA1	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase; Involved in the production of gangliosides GD3 and GT3 from GM3; gangliosides are a subfamily of complex glycosphinglolipds that contain one or more residues of sialic acid.
81	PDE1B	9606.ENSP00000243052	PDE1B	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B; Cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. Has a preference for cGMP as a substrate.
82	LUC7L	9606.ENSP00000293872	LUC7L	Putative RNA-binding protein Luc7-like 1; May bind to RNA via its Arg/Ser-rich domain.
83	KIAA0319	9606.ENSP00000367459	KIAA0319	Dyslexia-associated protein KIAA0319; Involved in neuronal migration during development of the cerebral neocortex. May function in a cell autonomous and a non-cell autonomous manner and play a role in appropriate adhesion between migrating neurons and radial glial fibers. May also regulate growth and differentiation of dendrites.
85	ALDOC	9606.ENSP00000378731	ALDOC	Aldolase, fructose-bisphosphate C.
86	AKIRIN2	9606.ENSP00000257787	AKIRIN2	Akirin-2; Required for the innate immune response. Downstream effector of the Toll-like receptor (TLR), TNF and IL-1 beta signaling pathways leading to the production of IL-6. Forms a complex with YWHAB that acts to repress transcription of DUSP1 (By similarity); Belongs to the akirin family.
89	MTMR3	9606.ENSP00000384651	MTMR3	Myotubularin-related protein 3; Phosphatase that acts on lipids with a phosphoinositol headgroup. Has phosphatase activity towards phosphatidylinositol 3- phosphate and phosphatidylinositol 3,5-bisphosphate. May also dephosphorylate proteins phosphorylated on Ser, Thr, and Tyr residues.
90	PCP4L1	9606.ENSP00000426296	PCP4L1	Purkinje cell protein 4 like 1; Belongs to the PCP4 family.
91	LRRC10B	9606.ENSP00000367315	LRRC10B	Leucine-rich repeat-containing protein 10B; Leucine rich repeat containing 10B.
92	NECTIN3	9606.ENSP00000418070	NECTIN3	Nectin-3; Plays a role in cell-cell adhesion through heterophilic trans-interactions with nectin-like proteins or nectins, such as trans- interaction with NECTIN2 at Sertoli-spermatid junctions. Trans- interaction with PVR induces activation of CDC42 and RAC small G proteins through common signaling molecules such as SRC and RAP1. Also involved in the formation of cell-cell junctions, including adherens junctions and synapses. Induces endocytosis-mediated down-regulation of PVR from the cell surface, resulting in reduction of cell movement and proliferation. Plays a role in the morphol [...] 
93	LBH	9606.ENSP00000378733	LBH	Protein LBH; Transcriptional activator which may act in mitogen-activated protein kinase signaling pathway; Belongs to the LBH family.
94	SLC6A5	9606.ENSP00000434364	SLC6A5	Sodium- and chloride-dependent glycine transporter 2; Sodium- and chloride-dependent glycine transporter. Terminates the action of glycine by its high affinity sodium-dependent reuptake into presynaptic terminals. May be responsible for the termination of neurotransmission at strychnine- sensitive glycinergic synapses.
96	KCNK3	9606.ENSP00000306275	KCNK3	Potassium channel subfamily K member 3; pH-dependent, voltage-insensitive, background potassium channel protein. Rectification direction results from potassium ion concentration on either side of the membrane. Acts as an outward rectifier when external potassium concentration is low. When external potassium concentration is high, current is inward. Belongs to the two pore domain potassium channel (TC 1.A.1.8) family.
97	PSMF1	9606.ENSP00000338039	PSMF1	Proteasome inhibitor PI31 subunit; Plays an important role in control of proteasome function. Inhibits the hydrolysis of protein and peptide substrates by the 20S proteasome. Also inhibits the activation of the proteasome by the proteasome regulatory proteins PA700 and PA28. Belongs to the proteasome inhibitor PI31 family.
100	MEIS3	9606.ENSP00000453307	MEIS3	Homeobox protein Meis3; Transcriptional regulator which directly modulates PDPK1 expression, thus promoting survival of pancreatic beta-cells. Also regulates expression of NDFIP1, BNIP3, and CCNG1.
